watershed_id,mean_elevation,mean_slope,mean_aspect,mean_plan_curvature,mean_profile_curvature,mean_twi,mean_spi,mean_tri,mean_distance_to_river,mean_rainfall_mean,mean_lulc,mean_soil_clay
90,4146.640625,29.360374450683594,193.9584503173828,0.00011570109199965373,-0.00013227319868747145,6.038346767425537,2935.865966796875,1.7606366872787476,991.684326171875,,61.03531265258789,
91,1521.8177490234375,9.394437789916992,65.93651580810547,0.0014901058748364449,0.001163579523563385,10.967151641845703,1736.718994140625,8.184893608093262,1014.7387084960938,,67.48980712890625,
92,228.88174438476562,0.7979872822761536,182.36758422851562,7.723611633991823e-05,1.8393813661532477e-05,9.752493858337402,215.69322204589844,0.3757397532463074,754.1383666992188,,39.570255279541016,
93,238.5884552001953,0.6351516246795654,186.88421630859375,2.9293036277522333e-05,-2.9233293389552273e-05,9.672918319702148,273.8357238769531,0.16596442461013794,833.5823974609375,689.6544799804688,39.24235153198242,199.2356414794922
94,244.69808959960938,0.6482581496238708,186.9119110107422,3.145307709928602e-05,-3.138072133879177e-05,9.633807182312012,96.4969253540039,0.17113293707370758,870.1985473632812,690.5757446289062,39.34130096435547,191.5191650390625
95,250.28768920898438,0.5708572268486023,188.6109161376953,3.181561623932794e-05,-3.194480814272538e-05,9.75416374206543,407.22869873046875,0.15179286897182465,701.5410766601562,686.9102172851562,39.29764938354492,197.47134399414062
96,254.138671875,0.8927271366119385,185.51199340820312,3.8583581044804305e-05,-3.8488688005600125e-05,9.340030670166016,236.19540405273438,0.23332223296165466,862.7098999023438,747.51953125,40.21337890625,170.4264678955078
97,245.22462463378906,0.898019015789032,184.00997924804688,3.725248097907752e-05,-3.679363726405427e-05,9.423718452453613,241.33810424804688,0.2184659242630005,674.1742553710938,819.5833129882812,38.947792053222656,180.3495330810547
98,248.9842529296875,0.6392132043838501,185.29164123535156,3.4426939237164333e-05,-3.455318801570684e-05,9.529964447021484,102.37030792236328,0.16640733182430267,867.270751953125,882.955810546875,38.73696517944336,201.2482452392578
99,267.3970642089844,0.969532310962677,201.52137756347656,6.0584563470911235e-05,-6.125304207671434e-05,9.283918380737305,370.6382141113281,0.23437383770942688,572.253173828125,950.3339233398438,36.668094635009766,208.0748291015625
