catchment_id,area_km2,watershed_id,mean_elevation
412,400.0,412,5208.77783203125
413,400.0,413,4958.62109375
414,400.0,414,1029.2076416015625
415,400.0,415,1253.324951171875
416,400.0,416,1913.4990234375
417,400.0,417,2709.992919921875
418,400.0,418,4140.6318359375
419,400.0,419,4729.23388671875
420,400.0,420,4382.00341796875
421,400.0,421,5190.9208984375
422,400.0,422,4844.78662109375
423,400.0,423,4397.99951171875
424,400.0,424,4084.8330078125
425,400.0,425,4862.169921875
426,400.0,426,4473.9560546875
427,400.0,427,4454.30078125
428,400.0,428,3960.426513671875
429,400.0,429,3386.2490234375
430,400.0,430,3134.983154296875
431,400.0,431,3256.28369140625
432,400.0,432,2917.687744140625
433,400.0,433,3011.037353515625
434,400.0,434,2678.441162109375
435,400.0,435,2492.544921875
436,400.0,436,2444.598876953125
437,400.0,437,1252.919189453125
438,400.0,438,1255.7099609375
439,400.0,439,1084.614013671875
440,400.0,440,1491.9036865234375
441,400.0,441,2102.02001953125
442,400.0,442,1977.0634765625
443,400.0,443,1279.3001708984375
444,400.0,444,718.2389526367188
445,400.0,445,127.11689758300781
446,400.0,446,0.0
447,400.0,447,0.0
448,400.0,448,0.0
449,400.0,449,0.0
450,400.0,450,0.0
451,400.0,451,0.0
452,400.0,452,0.0
453,400.0,453,0.0
454,400.0,454,0.0
455,400.0,455,0.0
456,400.0,456,0.0
457,400.0,457,0.0
458,400.0,458,0.0
459,400.0,459,0.0
